ID,FIELD
IT\ICCU\MSM\0000282,I lor moti i lor aspetti
IT\ICCU\MSM\0000284,Di sposa la fede
IT\ICCU\MSM\0000285,Ei mi guarda
IT\ICCU\MSM\0000286,Signora mi perdoni
IT\ICCU\MSM\0000293,V'amo per simpatia
IT\ICCU\MSM\0000294,Deh se m'ami in tal momento
IT\ICCU\MSM\0000295,Quando amore a lui giurai
IT\ICCU\MSM\0000310,Mia destra adorata
IT\ICCU\MSM\0000312,Cara e fatale immagine
IT\ICCU\MSM\0000313,L' onda placida e tranquilla
IT\ICCU\MSM\0000372,Che ne dici tu Taddeo?
IT\ICCU\MSM\0000577,"Sciogliam, sciogliam, sciogliam"
IT\ICCU\MSM\0000578,Ombre terribili
IT\ICCU\MSM\0000579,Questa di gloria nobile insegna
IT\ICCU\MSM\0000380,Questo è quel fonte limpido
IT\ICCU\MSM\0000381,Se per voi teneri oggetti
IT\ICCU\MSM\0000382,Nuova luce mi rischiara
IT\ICCU\MSM\0000830,Domine Jesu christe
IT\ICCU\MSM\0000451,Sciolto ognun dal terreo vel
IT\ICCU\MSM\0002485,Sinfonia ...
IT\ICCU\MSM\0002488,Quando l'estremo anelito
IT\ICCU\MSM\0002493,Ah! non lasciarmi nò
IT\ICCU\MSM\0002502,Sommo ciel che il cor mi vedi
IT\ICCU\MSM\0002503,O mia Giulietta
IT\ICCU\MSM\0002504,Ahimè già vengo meno
IT\ICCU\MSM\0002835,Nel rivederti ò caro
IT\ICCU\MSM\0002836,Quanto è fiero il mio tormento
IT\ICCU\MSM\0002837,Vedrai con tuo periglio
IT\ICCU\MSM\0002839,Questa non era o cara
IT\ICCU\MSM\0002841,Ciel pietoso ciel clemente
IT\ICCU\MSM\0000189,Fra tante vicende
IT\ICCU\MSM\0000190,"Piango, è ver"
IT\ICCU\MSM\0000192,Come per me sereno
IT\ICCU\MSM\0000194,Di quest'ombre al cupo orrore
IT\ICCU\MSM\0000202,*Chi d'amor squarciò la benda
IT\ICCU\MSM\0000344,Sinfonia
IT\ICCU\MSM\0000345,Ouverture ?
IT\ICCU\MSM\0000346,Ouverture ?
IT\ICCU\MSM\0000347,*Dio tremendo onnipossente
IT\ICCU\MSM\0000348,Bella cosa è un cor sincero
IT\ICCU\MSM\0000349,Donne è qua l'ortolanella
IT\ICCU\MSM\0000350,Dopo la fiera signor padrone
IT\ICCU\MSM\0000208,Si ben mio sarò
IT\ICCU\MSM\0000209,*Ascoltate vi dirò
IT\ICCU\MSM\0000211,Sinfonia ...
IT\ICCU\MSM\0000354,Che bella vita è il militare
IT\ICCU\MSM\0000355,Io t'attendo al gran cimento
IT\ICCU\MSM\0000356,Vaga mano sospirata
IT\ICCU\MSM\0000357,Andiam va avanti
IT\ICCU\MSM\0003794,Ne'giorni tuoi felici
IT\ICCU\MSM\0003797,Se l'affanno e il duol ch'io sento
IT\ICCU\MSM\0003798,Siam navi all'onde algenti
IT\ICCU\MSM\0003803,Mentre dormi Amor fomenti
IT\ICCU\MSM\0003804,In un cor che fu piagato
IT\ICCU\MSM\0003805,Spiegar non posso appieno
IT\ICCU\MSM\0003806,"Giusti Dei, se mesta io peno"
IT\ICCU\MSM\0003807,Bell'alme innamorate
IT\ICCU\MSM\0003808,Torbido il ciel s'oscura
IT\ICCU\MSM\0004129,In quel soggiorno
IT\ICCU\MSM\0004130,"Lo conosco, lo sento nel mio core"
