RISM_ID,ID,128b,128c
850671780,IT\ICCU\MSM\0071046,"3V,3str","T1,T2,B,vlc,harm,arp"
850671783,IT\ICCU\MSM\0071176,"2V,>str",B
850671806,IT\ICCU\MSM\0071478,"1V,orch",""
850671830,IT\ICCU\MSM\0069634,orch,""
850671927,IT\ICCU\MSM\0067967,"2V,1str","T,B,pf"
850671928,IT\ICCU\MSM\0067968,"2V,1str","S,B,pf"
850671929,IT\ICCU\MSM\0067969,"2V,1str","B,B,pf"
850671930,IT\ICCU\MSM\0067970,"2V,1str","S,B,pf"
850671953,IT\ICCU\MSM\0071178,"3V,Coro(3V),2str","S1,S2,B,Coro(S1,S2,B),cb,org"
850672455,IT\ICCU\MSM\0067966,"2V,1str","S,B,pf"
850672493,IT\ICCU\MSM\0069049,3str,""
850672653,IT\ICCU\MSM\0068841,2str,"trb,vlc"
850672905,IT\ICCU\MSM\0070799,"1V,1str","S,chit"
850672952,IT\ICCU\MSM\0067941,"4V,1str","S,A,T,B,pf"
850673070,IT\ICCU\MSM\0071389,4V,"S,A,T,B"
850673171,IT\ICCU\MSM\0069583,"1V,1str","Mzs,pf"
850673216,IT\ICCU\MSM\0070778,"2V,1str","S,B,pf"
850673413,IT\ICCU\MSM\0071223,banda,"ott,fl,cl-picc,cl1,cl2,cl3,cl4,cl5,cnta1,cnta2,bcl1,bcl2,cor1,cor2,cor3,flic-a1,flic-a2,flic-a3,trb1,bombno1,bombno2,trb2,trb3,trb4,bto,bombne,flic-cb,tambmil,tamb,gc"
850673414,IT\ICCU\MSM\0071224,"2V,1str","S,T,pf"
850673490,IT\ICCU\MSM\0068813,orch,""
850673591,IT\ICCU\MSM\0071227,"3V,Coro(2V),1str","S,T,Coro(T,B),pf"
850673592,IT\ICCU\MSM\0071228,"1V,1str","T,pf"
850673727,IT\ICCU\MSM\0070245,1str,pf
850673766,IT\ICCU\MSM\0071217,"1V,1str","S,pf"
850673769,IT\ICCU\MSM\0071220,1str,pf
850673792,IT\ICCU\MSM\0069111,1str,pf
850674118,IT\ICCU\MSM\0070753,1str,pf
850674314,IT\ICCU\MSM\0071061,banda,"cl,>str"
850674318,IT\ICCU\MSM\0071065,1str,pf
850674387,IT\ICCU\MSM\0070345,1str,pf
850674558,IT\ICCU\MSM\0076665,"1V,1str","S,pf"
850674559,IT\ICCU\MSM\0076666,"1V,1str","S,pf"
850674560,IT\ICCU\MSM\0076667,"1V,1str","S,pf"
850674561,IT\ICCU\MSM\0076668,"3V,1str","S,S,B,pf"
850674562,IT\ICCU\MSM\0076669,"3V,1str","S,S,B,pf"
850674564,IT\ICCU\MSM\0076676,"1V,orch",""
850674565,IT\ICCU\MSM\0076677,"1V,1str","T,pf"
850674610,IT\ICCU\MSM\0075977,banda,"ott,fl,ob,cl1,cl2,cl3,cl4,cl-b,sax-s,sax-a,sax-t,sax-br,sax-b,flic-s,cnta1,cnta2,flic1,flic2,flic-t,flic-br1,flic-br2,cor1,cor2,cor3,tr1,tr2,tr-b1,tr-b2,trb1,trb2,trb3,cl-b,cb-cb,tamb,gc,pt"
850674611,IT\ICCU\MSM\0075978,"Coro(>V),orch",""
850674612,IT\ICCU\MSM\0075979,banda,""
850674613,IT\ICCU\MSM\0075980,banda,"fl,ott,cl-picc1,cl-picc2,cl-s1,cl-s2,cl-s3,cl-a,cl-b1,cl-b2,sax-s,sax-a,sax-t,sax-br,sax-b,cor1,cor2,cor3,cnta1,cnta2,tr1,tr2,tr-b1,tr-b2,tr-b3,tr-cb1,tr-cb2,flic-s,flic-a,flic-t,flic-br,flic-b,flic-cb,tamb,cb,pt"
850674619,IT\ICCU\MSM\0076137,"1V,1str","S,pf"
850674621,IT\ICCU\MSM\0076139,"1V,1str","S,pf"
850674622,IT\ICCU\MSM\0078476,1str,org
850674625,IT\ICCU\MSM\0078479,1str,org
850674626,IT\ICCU\MSM\0078480,1str,org
850674627,IT\ICCU\MSM\0078481,1str,org
850674671,IT\ICCU\MSM\0076626,"3V,1str","T1,T2,B,org"
850674678,IT\ICCU\MSM\0076500,"3V,1str","S,S,S,pf"
850674680,IT\ICCU\MSM\0076502,"3V,1str","S,S,T,pf"
850674686,IT\ICCU\MSM\0076646,"1V,1str","B,pf"
850674691,IT\ICCU\MSM\0076653,"2V,1str","S,S,pf"
850674692,IT\ICCU\MSM\0076654,"1V,1str","T,pf"
850674693,IT\ICCU\MSM\0076655,"1V,1str","V,pf"
850674694,IT\ICCU\MSM\0076656,"1V,1str","T,pf"
850674698,IT\ICCU\MSM\0076800,"10V,Coro(3V),1str","S,S,Mzs,T,T,T,Br,Br,Br,B,Coro(S,T,B),pf"
850674699,IT\ICCU\MSM\0076801,"10V,Coro(3V),1str","S,S,Mzs,T,T,T,Br,Br,Br,B,Coro(S,T,B),pf"
850674711,IT\ICCU\MSM\0076964,"2V,1str","S,T,pf"
850674714,IT\ICCU\MSM\0076967,"2V,1str","S1,S2,pf"
850674729,IT\ICCU\MSM\0075820,"Coro(4V),1str","Coro(S,A,T,B),bc"
850674748,IT\ICCU\MSM\0075975,"1V,1str","T,org"
850674753,IT\ICCU\MSM\0076122,"1V,1str","V,pf"
850674754,IT\ICCU\MSM\0076123,"1V,1str","V,pf"
850674755,IT\ICCU\MSM\0076124,"1V,1str","V,pf"
850674757,IT\ICCU\MSM\0075983,"3V,Coro(3V),1str","T,Br,B,Coro(T1,T2,B),pf"
850674766,IT\ICCU\MSM\0076140,pf,""
850674767,IT\ICCU\MSM\0076141,banda,"fl1,fl2,ob1,ob2,fag1,fag2,cl-picc,cl1,cl2,cl3,cor1,cor2,tr1,tr2,trb1,trb2,b"
