RISM_ID,ID,200a_f
850626681,IT\ICCU\MSM\0029243,Cum Sancto Spiritu | [Johann Simon Mayr]
850626682,IT\ICCU\MSM\0029244,Kyrie| pastorale | [Johann Simon Mayr]
850626683,IT\ICCU\MSM\0029245,Gloria| pastorale | [Johann Simon Mayr]
850626689,IT\ICCU\MSM\0029252,Domine ad adju.| a 4° | [Johann Simon Mayr]
850626728,IT\ICCU\MSM\0029972,O salutaris hostia | [Johann Simon Mayr]
850626732,IT\ICCU\MSM\0029989,Ave Regina | [Johann Simon Mayr]
850626733,IT\ICCU\MSM\0029990,"Marcia lugubre a strumenti da fiato in grande, e ridotta| anche a minor numero | [Johann Simon Mayr]"
850626812,IT\ICCU\MSM\0029041,Dixit a 4| Sicut erat | [Johann Simon Mayr]
850626816,IT\ICCU\MSM\0029051,Domine e Dixit | di G. S. Mayr
850626830,IT\ICCU\MSM\0029233,"Domine | a | Tenore solo con | Violino, Violoncello, Clarinetto | e Corno obblig | [Johann Simon Mayr]"
850626888,IT\ICCU\MSM\0029980,O quam tristis a Soprano Solo con Violoncello| Serve per Corno o Fagotto | [Johann Simon Mayr]
850626890,IT\ICCU\MSM\0029982,Passio| a quattro voci| Pel Martedì santo| quando vi cade la festa della Madonna | [Johann Simon Mayr]
850626947,IT\ICCU\MSM\0030927,Dies irae et Tuba mirum | [Johann Simon Mayr]
850626948,IT\ICCU\MSM\0030928,Tuba mirum|Basso solo|con Trombone obbligato | [Johann Simon Mayr]
850626949,IT\ICCU\MSM\0030929,Liber scriptus | [Johann Simon Mayr]
850626952,IT\ICCU\MSM\0030932,Recordare|a| tre Soprani|colla|Fisarmonica obblig | [Johann Simon Mayr]
850626954,IT\ICCU\MSM\0030935,Ingemisco Soprano solo Con Flauto e Violoncello | [Johann Simon Mayr]
850626955,IT\ICCU\MSM\0030936,Inter oves/quintetto/con/Coro | [Johann Simon Mayr]
850626956,IT\ICCU\MSM\0030937,Miserere in g minor:|a 4° | [Johann Simon Mayr]
850626957,IT\ICCU\MSM\0030938,Miserere a 4°|in F min | [Johann Simon Mayr]
850626958,IT\ICCU\MSM\0030939,Tunc acceptabis|in g m:|a 4° | [Johann Simon Mayr]
850626959,IT\ICCU\MSM\0030940,"Miserere, et Tunc acceptabis/in Re min/a/quattro | [Johann Simon Mayr]"
850626960,IT\ICCU\MSM\0030941,"Miserere, e Tunc acceptabis|in Re min:|a|quattro | [Johann Simon Mayr]"
850627106,IT\ICCU\MSM\0030921,Tunc acceptabis|a 4° soli|indi|Coro | [Johann Simon Mayr]
850627107,IT\ICCU\MSM\0030922,Tunc acceptabis|in C min[or]e e Eb|a 4° | [Johann Simon Mayr]
850627108,IT\ICCU\MSM\0030923,Dies irae|a 4°|con grande orchestra|a 4° corni ed anche|a due come co' soliti|stromenti di fiato | [Johann Simon Mayr]
850627109,IT\ICCU\MSM\0030924,Sanctus | [Johann Simon Mayr]
850627112,IT\ICCU\MSM\0030934,Ingemisco|a Tenore solo|con Violino obbligato | [Johann Simon Mayr]
850627124,IT\ICCU\MSM\0030942,Miserere|in C 3/4|e Tunc acceptabis | [Johann Simon Mayr]
850627144,IT\ICCU\MSM\0029375,Marcia | [Johann Simon Mayr]
850627145,IT\ICCU\MSM\0029376,Sestetto per fiati | [Johann Simon Mayr]
850627605,IT\ICCU\MSM\0031425,Messa | [Joseph Ignaz Schnabel]
850627607,IT\ICCU\MSM\0031427,Gloria | [Johann Simon Mayr]
850627778,IT\ICCU\MSM\0031956,"Docebo, Libera| Sacrificium, Benigne fac Domine| due Tenori con Violino Obblig | [Johann Simon Mayr]"
850627790,IT\ICCU\MSM\0031966,Quoniam| in f| Soprano solo | [Johann Simon Mayr]
850627791,IT\ICCU\MSM\0031967,Quoniam| Sacrificium| a Tenore solo| Corno e Clarinetto | [Johann Simon Mayr]
850627919,IT\ICCU\MSM\0031957,Cor mundum| Soprano solo| e| Clarinetto obbligato | [Johann Simon Mayr]
850627920,IT\ICCU\MSM\0031958,Docebo| Basso solo in E mi| Alto o Tenore | [Johann Simon Mayr]
850627921,IT\ICCU\MSM\0031959,Docebo| in C c/ | Basso solo | [Johann Simon Mayr]
850627922,IT\ICCU\MSM\0031960,Docebo| in C 12/8| Basso solo | [Johann Simon Mayr]
850627923,IT\ICCU\MSM\0031962,Sacrificium| in f| Soprano solo con Corno bassetto | [Johann Simon Mayr]
850627924,IT\ICCU\MSM\0031963,Sacrificium| Basso| Clarinetto e Corno | [Johann Simon Mayr]
850627925,IT\ICCU\MSM\0031964,Sacrificium| Basso solo Corno inglese e Corno | [Johann Simon Mayr]
850627926,IT\ICCU\MSM\0031965,Sacrificium a Tenore Solo| Con Flauto e Violoncello | [Johann Simon Mayr]
850627927,IT\ICCU\MSM\0031968,Quoniam| e| Sacrificium| a| Tenore solo con Oboe obbligato | [Johann Simon Mayr]
850627928,IT\ICCU\MSM\0031969,Quoniam e| Sacrificium Tenore| e| Violino obbl: | [Johann Simon Mayr]
850627929,IT\ICCU\MSM\0031970,Sacrificium in a| a| Tenore solo con| Violino obbligato | [Johann Simon Mayr]
850627930,IT\ICCU\MSM\0031971,Sacrificium| in a 3/4| Tenore solo con violino obbligato | [Johann Simon Mayr]
850627931,IT\ICCU\MSM\0031972,Sacrificium| in 3/4| Tenore solo con Violino obblig: | [Johann Simon Mayr]
850627932,IT\ICCU\MSM\0031973,Sacrificium| con Violino obbligato| Tenore solo | [Johann Simon Mayr]
850627933,IT\ICCU\MSM\0031974,Domine| a due | [Johann Simon Mayr]
850627934,IT\ICCU\MSM\0031975,Benigne| Tenore solo| a| due Corni e due Trombe| o Corno inglese e Corno | [Johann Simon Mayr]
850628086,IT\ICCU\MSM\0031950,Averte faciem| Basso solo con Cori | [Johann Simon Mayr]
850628087,IT\ICCU\MSM\0031951,Domine et Sacri - Tenore - e Clarinetto | [Johann Simon Mayr]
850628088,IT\ICCU\MSM\0031952,Domine labia| Tenore e Violoncello | [Johann Simon Mayr]
850628089,IT\ICCU\MSM\0031953,Domine labia mea| a| Tenore  e Violino obbligato | [Johann Simon mayr]
850628090,IT\ICCU\MSM\0031954,Docebo| Soprano - Cori e Flauto | [Johann Simon Mayr]
850628091,IT\ICCU\MSM\0031955,Docebo| a tre con Coro | [Johann Simon Mayr]
850628103,IT\ICCU\MSM\0031976,Invito | [Johann Simon Mayr]
